Plot,Richness,Rain,Subblock,CommComp,Ast10,Fab10,Poa10,TwoSpp,TwoSppFab,n.k,k,A,k2.5,k97.5,a2.5,a97.5,PropPanvir.Rlzd,Cover,PhyloDistPv,Percent.C,Percent.N,CN,CNdiff,Cdiff,Ndiff,ShannonsH.Bacteria,ShannonsH.FungSapr,Richness.Bacteria,Richness.FungSapr,AvgDistBact,AvgDistFung,CE,PropPanvir.Pntd
65,1,50,B,AST,A1,F0,P0,NA,NA,5,0.002155739,2.513911967,0.001789982,0.00252871,2.422040351,2.606390018,0,0.65,0.3058,38.26,1,38.26,-8.014781756,-4.013571429,0.081428571,5.71375822,1.559676909,525,52,37.87788235,24.49329642,0,0
66,6,50,B,OVER,A1,F1,P1,NA,NA,5,0.002254254,2.532359273,0.000662902,0.003996482,2.125549116,2.951412645,0,0.495,0.267515025,40.18,1.09,36.86238532,-9.412396435,-2.093571429,0.171428571,6.042714258,1.768483362,717,45,37.69443137,24.14005343,0.92855541,0
67,1,50,B,POA,A0,F0,P1,NA,NA,5,0.001752784,2.496608773,0.000856876,0.002688654,2.262753043,2.734559459,0,0.6,0.0274,41.01,0.93,44.09677419,-2.178007563,-1.263571429,0.011428571,6.080610961,3.580073039,739,83,37.44626968,23.69342973,0.889033318,0
68,6,50,B,AST,A1,F0,P0,NA,NA,5,0.001553799,2.519340118,-0.00102104,0.004468079,1.827707969,3.24901445,0,0.775833333,0.294332025,40.22,1.12,35.91071429,-10.36406747,-2.053571429,0.201428571,6.021886605,3.701122456,736,92,37.57825899,24.00220104,8.55792908,0
69,2,50,B,OVER,A1,F0,P1,AP,F0,5,0.001388671,2.408681542,0.000239787,0.002597221,2.112002671,2.712310998,0.938925719,0.538333333,0.017613823,37.89,0.97,39.06185567,-7.212926086,-4.383571429,0.051428571,6.221980195,3.837569134,957,102,2.227271791,1.403060262,2.311457102,0.5
70,1,50,B,AST,A1,F0,P0,NA,NA,5,0.001859963,2.561236804,0.000505931,0.003309359,2.198275781,2.933884218,0,0.75,0.2869,40.42,0.89,45.41573034,-0.859051419,-1.853571429,-0.028571429,6.128348216,3.915678822,808,91,37.68613988,23.8884279,10.57007495,0
71,2,50,B,AST,A1,F0,P0,AA,F0,5,0.001539282,2.479051138,9.43E-05,0.00308475,2.097674631,2.871662509,0,0.239,0.287803561,40.34,0.95,42.46315789,-3.811623861,-1.933571429,0.031428571,6.047011771,3.663650925,752,72,36.23427052,23.26998001,7.990017941,0
72,3,50,B,OVER,A1,F1,P1,NA,NA,5,0.001947997,2.465778426,0.00027188,0.00378042,2.039261799,2.906355218,0,0.441666667,0.111195703,40.83,1.08,37.80555556,-8.469226201,-1.443571429,0.161428571,5.709415429,3.74415241,547,87,36.71829902,24.41836503,5.96836072,0
73,2,50,B,POA,A0,F0,P1,PP,F0,5,0.001656841,2.554906901,-9.28E-05,0.00356104,2.082092204,3.044511687,0,0.335066667,0.027400419,37.86,0.93,40.70967742,-5.565104337,-4.413571429,0.011428571,6.180569443,3.505054887,828,94,37.44624692,23.69342206,-3.372331746,0
74,1,50,B,FAB,A0,F1,P0,NA,NA,5,0.001586001,2.511771738,0.000776209,0.002426558,2.296381672,2.73061658,0,0.213333333,0.2774,39.67,1,39.67,-6.604781756,-2.603571429,0.081428571,5.586834789,3.121104794,453,73,37.94361302,22.45950985,2.162680973,0
75,3,50,B,AST,A1,F0,P0,NA,NA,5,0.001884911,2.473493537,0.000954591,0.002860296,2.235885551,2.715354862,0,0.600833333,0.28718368,41.1,0.89,46.17977528,-0.095006475,-1.173571429,-0.028571429,6.037712054,3.140604207,731,54,37.64476391,23.88532088,1.620888854,0
76,1,50,B,FAB,A0,F1,P0,NA,NA,5,0.002911484,2.507625162,0.001526619,0.004427956,2.17909967,2.843994769,0,0.341666667,0.2837,40.32,1.2,33.6,-12.67478176,-1.953571429,0.281428571,5.918058856,2.258036991,641,78,38.34133264,22.81530039,2.26389294,0
