PLOTNO,BMTOTPLOT.g,deltaY,CE,SE,YEAR
212,1509.283968,534.0983242,156.3419538,377.7563704,2022
213,452.7854899,264.2753378,221.0526936,43.22264414,2022
214,422.702489,288.075784,624.0802019,-336.0044179,2022
215,919.4811854,555.6178576,37.56007227,518.0577853,2022
216,1021.755387,179.5590755,186.7772344,-7.218158844,2022
217,668.8184198,332.2225986,-16.17065925,348.3932578,2022
218,625.4726409,-178.1355227,-178.1355227,-2.84E-14,2022
219,806.9524655,-73.83199323,-73.83199323,1.42E-14,2022
220,390.9703733,207.1331448,550.6260579,-343.4929131,2022
221,962.5848801,-25.37148386,-25.37148386,-2.84E-14,2022
222,943.469378,538.2717077,96.63652377,441.6351839,2022
223,277.8805113,-24.65264232,-24.65264232,-1.07E-14,2022
224,68.68773317,-40.66831118,-53.0597332,12.39142202,2022
225,676.9510266,147.6843293,50.34854367,97.33578558,2022
226,388.2820955,37.25237272,37.25237272,1.42E-14,2022
227,380.800225,-25.83747117,231.0848845,-256.9223557,2022
228,134.8875616,-18.07044712,-18.07044712,0,2022
229,342.6076652,17.37700292,9.767226512,7.609776409,2022
230,49.22875842,-29.07199908,-29.07199908,-3.55E-15,2022
231,830.7864577,391.3361,210.404549,180.931551,2022
232,1342.749979,632.1695997,371.6325426,260.5370571,2022
233,403.1830518,121.4399214,141.7259105,-20.28598911,2022
234,434.7892035,266.7742993,177.5385587,89.23574058,2022
235,815.65206,367.2820495,-80.22270319,447.5047526,2022
236,1005.574538,103.6052863,50.7240116,52.88127473,2022
237,936.9569034,565.6378403,73.16114257,492.4766977,2022
238,566.0737887,-176.7434377,-176.7434377,0,2022
